site,Time,depth,speed,vorticity,Fr,porpoise_present
1,2024/1/4 06:00,10.274,0.611846,0.0001034,0.060976053,0
1,2024/1/4 06:30,10.2724,0.611837,0.0001033,0.060979904,0
1,2024/1/4 07:00,10.2708,0.61178,0.0001029,0.060978972,0
1,2024/1/4 07:30,10.2693,0.61171,0.0001028,0.060976448,0
1,2024/1/4 08:00,10.2678,0.611655,0.0001026,0.060975419,0
1,2024/1/4 08:30,10.2663,0.611601,0.0001024,0.06097449,0
1,2024/1/4 09:00,10.2649,0.611548,0.0001023,0.060973363,0
1,2024/1/4 09:30,10.2634,0.611491,0.000102,0.060972135,0
1,2024/1/4 10:00,10.262,0.611438,0.0001019,0.060971009,0
1,2024/1/4 10:30,10.2605,0.611384,0.0001016,0.060970081,0
1,2024/1/4 11:00,10.2591,0.611329,0.0001015,0.060968755,0
1,2024/1/4 11:30,10.2577,0.611274,0.0001013,0.06096743,0
1,2024/1/4 12:00,10.2562,0.611219,0.000101,0.060966402,0
1,2024/1/4 12:30,10.2548,0.611158,0.000101,0.060964479,0
1,2024/1/4 13:00,10.2534,0.611104,0.0001007,0.060963254,0
1,2024/1/4 13:30,10.252,0.61105,0.0001005,0.060962029,0
1,2024/1/4 14:00,10.2506,0.610992,0.0001004,0.060960405,0
1,2024/1/4 14:30,10.2492,0.610935,0.0001001,0.060958881,0
1,2024/1/4 15:00,10.2479,0.610875,1.00E-04,0.06095676,0
1,2024/1/4 15:30,10.2465,0.610818,9.97E-05,0.060955236,0
1,2024/1/4 16:00,10.2451,0.610763,9.96E-05,0.060953912,0
1,2024/1/4 16:30,10.2437,0.610704,9.93E-05,0.060952188,0
1,2024/1/4 17:00,10.2424,0.610644,9.93E-05,0.060950067,0
1,2024/1/4 17:30,10.241,0.610584,9.90E-05,0.060948244,0
1,2024/1/4 18:00,10.2397,0.61053,9.88E-05,0.060946722,0
1,2024/1/4 18:30,10.2383,0.61047,9.86E-05,0.060944899,0
1,2024/1/4 19:00,10.2369,0.610411,9.85E-05,0.060943176,0
